reply_comment_total,digg_count,date,AF,video,comment_id
0,2,2025-03-27,不是哥们，你中文这么好的吗,video7,comment4035
0,0,2025-03-31,全是天网 灵机一动,video19,comment28036
0,0,2025-03-28,看到沪爷为国争光了，我送外卖的时候汗水都是甜的,video13,comment10568
1,1,2025-03-30,让他去新疆吧 看,video17,comment12936
1,1,2025-04-06,甲亢哥的中国行我只看了一期，作为一个中国人，我感觉没眼看。但是这可能就是文化的不同所在，应该更受外国人欢迎。不管你们同不同意，但这只是我的观点。,video27,comment38790
0,1,2025-04-02,把霉吸踢出去， 微笑 微笑,video29,comment47150
0,1,2025-04-09,佛罗里达不养闲人，在我五星红旗 面前显得如此渺小！,video32,comment48141
0,0,2025-03-28,谁在说话,video11,comment8488
3,3,2025-04-03,我反正觉得热情的有点过分了 捂脸 捂脸 捂脸,video27,comment37344
0,0,2025-03-28,让我马大师教他两套鞭法,video14,comment11346
65,20220,2025-04-03,重庆特朗普我是真的绷不住了 捂脸 捂脸 捂脸,video32,comment47982
0,0,2025-04-09,蘭姐2025 北京八达岭长城 都没有深圳让他惊艳，深圳真的就是高科技之城,video40,comment52918
1,0,2025-04-02,我的妈呀,video27,comment43544
0,0,2025-04-05,绍兴甜美妹dy,video37,comment51137
1,3,2025-03-30,实则慌得雅痞 泪奔 鼓掌 鼓掌,video18,comment15833
0,0,2025-03-29,找个工作试试？,video16,comment12381
0,0,2025-03-29,这个人很厉害？,video12,comment9705
0,0,2025-04-01,好牛，5g满格，能刷x吗 捂脸,video19,comment27292
0,1,2025-04-01,这有什么怕的吗，我们小县城都有比这还高,video18,comment17465
0,9,2025-04-02,我瑞哥今次抛头露面咯 捂脸,video30,comment47501
0,1,2025-03-27,秽土转生,video10,comment6616
0,0,2025-03-31,性价比就不要吹了，这个不经吹。,video19,comment27976
0,0,2025-04-05,女孩子在这里,video37,comment51105
0,0,2025-04-11,好卡,video42,comment56524
0,0,2025-04-09,脱敏了哈哈哈,video39,comment52236
0,1,2025-04-02,甲亢哥要笑死老子,video29,comment46965
0,0,2025-04-01,赞 赞 赞 赞 赞,video1,comment517
0,0,2025-03-28,还需要造谣中国么 捂脸,video13,comment10455
5,1,2025-03-31,辣味都盖过其它食物的味道了，搞不懂那么辣干嘛,video24,comment30671
0,2,2025-03-28,正宗广东人，有时间一起吃猪脚饭 赞 赞,video11,comment7297
0,0,2025-04-08,长沙之行大失败了。,video41,comment55174
1,0,2025-03-26,背景音乐叫什么，好熟悉,video3,comment2079
0,0,2025-03-30,生怕他蹦跶掉下去,video17,comment14280
0,0,2025-04-03,重庆好玩吗，好玩就下楼了,video31,comment47944
0,0,2025-04-11,我腿麻了 捂脸,video18,comment19160
0,0,2025-04-08,别晃了，我害怕 微笑,video18,comment19939
0,1,2025-04-08,听君一席话 胜看半月手机,video27,comment38671
0,0,2025-04-10,拉上头了 我也会被辣上头,video24,comment30929
0,0,2025-03-31,辣的脸都黑了,video24,comment33295
1,3,2025-04-06,其实你这也是个赛道,video27,comment37064
